id,response,label1,label2
0,"Are there any other symptoms besides fatigue that you are experiencing? What daily tasks are you having trouble with? 

I would like to reassure you that the fatigue you are feeling is normal for people undergoing chemotherapy and radiation therapy. Usually the fatigue builds up through the course of treatment, peaks 1-2 weeks following the end of treatment, and then starts to resolve.",Neutral,Disagree
7,"What does the rash look like? Are you having any other symptoms?

The rash you are experiencing is possibly a side effect of your treatment. I would like to see you and examine the rash if you can come into my office.",Neutral,Disagree
9,"This would be an unusual side effect of your treatment, and I am concerned that you might have an infection or something else going on. I would recommend you come into my office for evaluation or go to your local urgent care center.",Trivial,Agree
16,"This is likely a side effect of your treatment. Alternatively, but less likely, it could be related to the tumor itself progressing despite treatment, though this is rare, or another cause. I would recommend you come in for evaluation.",Neutral,Disagree
19,"I am concerned about a problem with your liver. While it is possible this is a rare side effect of your treatment, it is more likely that the cancer itself is causing this symptom, which might require a change in your treatment plan and coming in for an evaluation.",Neutral,Agree
23,"This is not normal, and could be related to a medication side effect, worsening of your COPD, infection, or an issue related to your cancer. I would recommend contacting the oncology clinic.",Trivial,Agree
31,You should seek urgent medical attention and go to the nearest emergency department.,Trivial,Agree
39,"We may need to make a modification to your chemotherapy treatment to improve the pain. In the meantime, you could try a medication like gabapentin to help with symptoms. I would recommend coming in for clinical evaluation.",Neutral,Disagree
40,"This sounds concerning to me, and I would go directly to the emergency room.",Trivial,Agree
42,"What does the rash look like? Any other symptoms?
This is possibly a side effect of immunotherapy, though I would like to evaluate you in the clinic.",Challenging,Neither agree or disagree
44,"Any other associated symptoms? How much diarrhea and blood? I would like to run a few tests before we determine how to best manage the diarrhea. You should also come into clinic, because you may need hydration.",Challenging,Neither agree or disagree
45,"Any other symptoms? Please describe your weakness in more detail.
It is unlikely that your radiation therapy would make you feel weak, though having some tiredness is possible. I would come to clinic to be evaluated.",Challenging,Neither agree or disagree
48,Please seek urgent medical attention at the emergency department.,Trivial,Agree
52,"How quickly did the symptoms arise?
It is possible this is a sign of cancer recurrence, though it is more likely this could be a late side effect of your treatment, or another cause, like infection.",Challenging,Neither agree or disagree
53,"Any other symptoms?
Yes, this could be related to your prior cancer treatment, though it could also be a sign of something else like cancer recurrence, or dietary related. You should come into the clinic for evaluation.",Neutral,Agree
54,"It is possible this is related to your cancer coming back, but it could also be a symptom related to your prior treatment.",Challenging,Neither agree or disagree
58,"Where specifically is the pain located? Any other symptoms? What are the dosages of the medications you are on and what indications are you taking them for? 

You could first try taking tylenol. You could also try the use of a topical lidocaine patch. It looks like you are already on aspirin, but you may be able to take an NSAID like ibuprofen temporarily instead of this.",Challenging,Disagree
60,"How severe are the symptoms and how long have they persisted? Any other symptoms?

Some degree of abdominal discomfort and bloating is typical after surgery for pancreatic cancer, however a sudden change in symptoms could be a sign of something more concerning. I recommend a clinic evaluation.",Challenging,Neither agree or disagree
64,"Yes, this may be a common side effect of your treatment called lymphedema. It is less likely related to an infection or other cause. Please schedule a clinic visit so that we can evaluate you.",Neutral,Disagree
69,It is unlikely that this is related to your cancer coming back.,Trivial,Neither agree or disagree
73,"How long has this been going on? Any other symptoms?
This could be related to your cancer, but it is more likely to be related to your prior treatment, or another cause, such as infection, or dietary reason. Please come in for evaluation.",Challenging,Neither agree or disagree
80,"There could be a few things going on, and I would recommend coming in to see me for an evaluation.",Challenging,Agree
85,"You should schedule an appointment to discuss your symptoms. This may be related to a urinary tract infection, and we need to run some tests to determine the cause.",Trivial,Agree
91,"This is likely related to your chemotherapy. There are a few things we could try to help your symptoms, such as steroid creams, moisturizers, ice packs, or possibly reducing or modifying your chemotherapy. Please come into clinic for evaluation.",Challenging,Disagree
96,"Yes, you should schedule an appointment to discuss your symptoms.",Trivial,Agree
98,"What exacerbates the pain? What are associated symptoms?

You should come in for an evaluation to the emergency room or urgent care clinic.",Neutral,Neither agree or disagree
1,Unfortunately it is a side effect of the chemotherapy you are on. One treatment option to help with decreasing hair loss is a cold cap treatment which is over the counter.,Challenging,Disagree
13,Unfortunately it is. I would recommend magic mouthwash rinses. I can send you a prescription for it to pick up. I would recommend using it 10 mins before each meal.,Neutral,Disagree
14,"Yes it is from hormone therapy. If they get worse, please let us and med onc know there are prescription medications we can prescribe to help mitigate some of those symptoms.",Neutral,Disagree
